VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,1/1/2016 0:00,1/1/2016 0:13,1,2.4,-73.99559784,40.744239807128906,1,N,-73.98545837,40.768711090087891,1,11,0.5,0.5,3.05,0,0.3,15.35
2,1/1/2016 0:00,1/1/2016 0:02,2,0.44,-73.99027252,40.772010803222656,1,N,-73.99504089,40.769771575927734,1,4,0.5,0.5,1.06,0,0.3,6.36
2,1/1/2016 0:00,1/1/2016 0:06,1,1.56,-73.94010925,40.751152038574219,1,N,-73.93002319,40.767051696777344,2,7.5,0.5,0.5,0,0,0.3,8.8
1,1/1/2016 0:00,1/1/2016 0:33,2,2.9,-73.98215485,40.774879455566406,1,N,-73.98136139,40.744113922119141,2,20.5,0.5,0.5,0,0,0.3,21.8
1,1/1/2016 0:00,1/1/2016 0:19,1,1.2,-74.00806427,40.742069244384766,1,N,-74.00228882,40.742164611816406,3,12.5,0.5,0.5,0,0,0.3,13.8
1,1/1/2016 0:00,1/1/2016 0:13,1,1.5,-74.00267792,40.730636596679688,1,N,-73.98042297,40.726211547851563,1,10,0.5,0.5,3.35,0,0.3,14.65
2,1/1/2016 0:00,1/1/2016 0:42,1,2.32,-73.98165894,40.773738861083984,1,N,-73.99596405,40.753837585449219,2,19,0.5,0.5,0,0,0.3,20.3
2,1/1/2016 0:00,1/1/2016 0:14,5,9.63,-73.98174286,40.719158172607422,1,N,-73.93882751,40.829181671142578,1,27,0.5,0.5,8.49,0,0.3,36.79
2,1/1/2016 0:00,1/1/2016 0:05,5,1.17,-73.96305847,40.775016784667969,1,N,-73.95174408,40.778800964355469,2,6,0.5,0.5,0,0,0.3,7.3
1,1/1/2016 0:00,1/1/2016 0:19,1,3.4,0,0,1,N,0,0,2,14.5,0.5,0.5,0,0,0.3,15.8
2,1/1/2016 0:00,1/1/2016 0:06,3,1.32,-73.96125793,40.796199798583984,1,N,-73.95005035,40.787311553955078,2,6.5,0.5,0.5,0,0,0.3,7.8
1,1/1/2016 0:00,1/1/2016 0:29,1,13,-73.98223877,40.757701873779297,1,N,-73.90930939,40.862049102783203,2,36.5,0.5,0.5,0,0,0.3,37.8
1,1/1/2016 0:00,1/1/2016 0:17,1,0.7,-73.89412689,40.636573791503906,1,Y,-73.89250183,40.634834289550781,2,11,0.5,0.5,0,0,0.3,12.3
1,1/1/2016 0:00,1/1/2016 0:32,1,5.4,-73.94641876,40.789138793945313,1,N,-73.91590118,40.851547241210937,2,24.5,0.5,0.5,0,0,0.3,25.8
2,1/1/2016 0:00,1/1/2016 0:12,1,3.3,-73.97567749,40.749099731445313,1,N,-73.97364807,40.78369141,1,12,0.5,0.5,2.66,0,0.3,15.96
2,1/1/2016 0:00,1/1/2016 0:13,6,2.94,-73.94969177,40.784618377685547,1,N,-73.97103119,40.751018524169922,2,12,0.5,0.5,0,0,0.3,13.3
2,1/1/2016 0:00,1/1/2016 0:13,2,5.23,-73.98184967,40.716880798339844,1,N,-73.96932983,40.769378662109375,2,17.5,0.5,0.5,0,0,0.3,18.8
1,1/1/2016 0:00,1/1/2016 0:07,1,1.3,-73.96588135,40.688564300537109,1,N,-73.96269226,40.671928405761719,1,7.5,0.5,0.5,1.75,0,0.3,10.55
1,1/1/2016 0:00,1/1/2016 0:17,1,4.7,-73.99586487,40.767772674560547,1,N,-74.00960541,40.709926605224609,1,17,0.5,0.5,2,0,0.3,20.3
2,1/1/2016 0:00,1/1/2016 0:08,1,0.83,-73.9787674,40.745105743408203,1,N,-73.99221039,40.749309539794922,2,7,0.5,0.5,0,0,0.3,8.3
1,1/1/2016 0:00,1/1/2016 0:22,1,15.4,-73.97650146,40.733562469482422,1,N,-73.85426331,40.891788482666016,1,41.5,0.5,0.5,8.55,0,0.3,51.35
2,1/1/2016 0:00,1/1/2016 0:08,3,1.64,-73.96937561,40.785236358642578,1,N,-73.94556427,40.777980804443359,1,8.5,0.5,0.5,0,0,0.3,9.8
1,1/1/2016 0:00,1/1/2016 0:15,1,5.1,-73.99058533,40.745880126953125,1,N,-73.96988678,40.801265716552734,1,17.5,0.5,0.5,2.82,0,0.3,21.62
2,1/1/2016 0:00,1/1/2016 0:18,1,1.1,-73.97434235,40.756660461425781,1,N,-73.98148346,40.753715515136719,2,11.5,0.5,0.5,0,0,0.3,12.8
2,1/1/2016 0:00,1/1/2016 0:03,1,0.35,-73.99234772,40.743438720703125,1,N,-73.99642181,40.746063232421875,1,4,0.5,0.5,1.59,0,0.3,6.89
1,1/1/2016 0:00,1/1/2016 0:03,1,1.3,-73.93352509,40.802928924560547,1,N,-73.94567108,40.785984039306641,2,5.5,0.5,0.5,0,0,0.3,6.8
2,1/1/2016 0:00,1/1/2016 0:27,5,7.25,-73.9729538,40.755718231201172,1,N,-73.97881317,40.684551239013672,2,26,0.5,0.5,0,0,0.3,27.3
2,1/1/2016 0:00,1/1/2016 0:13,5,3.6,-73.99694824,40.720500946044922,1,N,-73.95818329,40.721790313720703,1,13.5,0.5,0.5,2.96,0,0.3,17.76
2,1/1/2016 0:00,1/1/2016 0:09,6,0.32,-73.99375916,40.751621246337891,1,N,-73.99086761,40.756088256835937,1,7,0.5,0.5,0,0,0.3,8.3
1,1/1/2016 0:00,1/1/2016 0:10,1,3.7,-73.97831726,40.763179779052734,1,N,-73.92160797,40.741374969482422,1,13,0.5,0.5,5.7,0,0.3,20
2,1/1/2016 0:00,1/1/2016 0:10,1,1.61,-73.96375275,40.771160125732422,1,N,-73.9756012,40.752738952636719,2,8.5,0.5,0.5,0,0,0.3,9.8
1,1/1/2016 0:00,1/1/2016 0:06,1,1.2,-73.97602081,40.744560241699219,1,N,-73.9664917,40.753662109375,1,6.5,0.5,0.5,2.3,0,0.3,10.1
1,1/1/2016 0:00,1/1/2016 0:17,1,8.8,-73.97679138,40.733699798583984,1,N,-73.89214325,40.750724792480469,1,26,0.5,0.5,5.45,0,0.3,32.75
2,1/1/2016 0:00,1/1/2016 0:34,1,14.04,-73.98428345,40.748058319091797,1,N,-73.99208832,40.609176635742187,2,42,0.5,0.5,0,0,0.3,43.3
1,1/1/2016 0:00,1/1/2016 0:08,1,2.2,-73.96987152,40.768508911132813,1,N,-73.94934845,40.787765502929688,2,9,0.5,0.5,0,0,0.3,10.3
1,1/1/2016 0:00,1/1/2016 0:14,1,4.3,-73.96617889,40.762222290039063,1,N,-73.89775848,40.743141174316406,2,15.5,0.5,0.5,0,0,0.3,16.8
1,1/1/2016 0:00,1/1/2016 0:11,2,1.3,-74.00437927,40.742252349853516,1,N,-73.98422241,40.738197326660156,1,8.5,0.5,0.5,1,0,0.3,10.8
2,1/1/2016 0:00,1/1/2016 0:07,1,1.03,-73.99133301,40.723892211914063,1,N,-73.98368835,40.721515655517578,2,6.5,0.5,0.5,0,0,0.3,7.8
2,1/1/2016 0:00,1/1/2016 0:00,5,0,0,0,3,N,0,0,2,20,0.5,0,0,0,0.3,20.8
2,1/1/2016 0:00,1/1/2016 0:05,1,1.1,-73.97415924,40.795730590820313,1,N,-73.96251678,40.804931640625,1,6,0.5,0.5,1,0,0.3,8.3
2,1/1/2016 0:00,1/1/2016 0:09,6,1.85,-73.99420166,40.726470947265625,1,N,-74.01474762,40.716201782226563,2,8.5,0.5,0.5,0,0,0.3,9.8
2,1/1/2016 0:00,1/1/2016 0:12,1,1.43,-73.98963928,40.734397888183594,1,N,-73.97879028,40.724113464355469,2,7.5,0.5,0.5,0,0,0.3,8.8
2,1/1/2016 0:00,1/1/2016 0:18,1,4.93,-74.0014801,40.727439880371094,1,N,-73.95645142,40.768150329589844,1,17.5,0.5,0.5,3.76,0,0.3,22.56
1,1/1/2016 0:00,1/1/2016 0:03,1,0.8,-73.97915649,40.740509033203125,1,N,-73.98852539,40.734645843505859,1,4.5,0.5,0.5,1.45,0,0.3,7.25
1,1/1/2016 0:00,1/1/2016 0:13,2,8.7,-73.95392609,40.766944885253906,1,N,-73.92446136,40.861392974853516,1,25,0.5,0.5,0,0,0.3,26.3
2,1/1/2016 0:00,1/1/2016 0:09,1,1.22,-73.98213959,40.771686553955078,1,N,-73.97445679,40.762485504150391,2,7.5,0.5,0.5,0,0,0.3,8.8
2,1/1/2016 0:00,1/1/2016 0:19,2,11.87,-73.78082275,40.645183563232422,1,N,-73.89084625,40.743007659912109,1,33,0.5,0.5,8.58,0,0.3,42.88
2,1/1/2016 0:00,1/1/2016 0:06,6,0.72,-73.99739838,40.720748901367188,1,N,-73.99918365,40.7279052734375,1,5.5,0.5,0.5,1.36,0,0.3,8.16
1,1/1/2016 0:00,1/1/2016 0:29,2,3.1,-73.98404694,40.755279541015625,1,N,-73.99514771,40.720634460449219,1,19.5,0.5,0.5,4.15,0,0.3,24.95
1,1/1/2016 0:00,1/1/2016 0:08,3,1.8,-73.98387146,40.742408752441406,1,N,-74.00236511,40.726348876953125,2,8,0.5,0.5,0,0,0.3,9.3
2,1/1/2016 0:00,1/1/2016 0:11,1,2.5,-73.99575043,40.744091033935547,1,N,-74.00975037,40.712760925292969,2,10.5,0.5,0.5,0,0,0.3,11.8
1,1/1/2016 0:00,1/1/2016 0:22,1,4.9,-73.98508453,40.747165679931641,1,N,-73.95803833,40.717491149902344,1,19,0.5,0.5,1.7,0,0.3,22
2,1/1/2016 0:00,1/1/2016 0:08,1,1.53,-73.97100067,40.797641754150391,1,N,-73.9536972,40.785129547119141,1,8,0.5,0.5,1.86,0,0.3,11.16
1,1/1/2016 0:00,1/1/2016 0:17,1,1.1,-73.98415375,40.764858245849609,1,N,-73.97802734,40.762935638427734,2,11,0.5,0.5,0,0,0.3,12.3
